Filepath,Label,Source,augmented
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_100102.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_101381.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_101611.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_102039.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_102750.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_10387.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_10622.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_107595.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_107876.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_111710.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_112418.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_114542.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_114899.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_115323.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_115777.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_116477.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_119131.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_119883.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_120278.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_120688.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_121453.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_121897.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_1223.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_124389.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_124620.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_124938.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_126411.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_126424.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_126839.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_127306.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_127671.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_127868.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_128084.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_128423.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_129537.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_129641.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_129960.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_130694.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_130831.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_131174.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_136062.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_136209.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_139275.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_139552.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_139733.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_141630.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_141631.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_142746.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_143059.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_14309.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_144863.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_145728.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_147282.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_147402.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_147981.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_151210.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_152650.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_152708.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_152930.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_153085.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_154572.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_155216.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_155436.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_15551.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_157951.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_1581.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_158249.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_158647.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_161101.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_161905.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_162483.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_162861.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_163898.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_164170.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_165215.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_166254.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_166406.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_166905.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_168028.jpg,basophil,Original,0
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_168566.jpg,basophil,Original,1
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_172469.jpg,basophil,Original,1
