Filepath,Source,augmented,NclCvx_R_mean,NclCvx_H_mean,NclCvx_Cr_mean,NclCvx_B_std,NclCvx_H_std,NclCvx_Cr_std,RocCvx_R_mean,RocCvx_B_mean,RocCvx_H_mean,RocCvx_Cr_mean,RocCvx_Cb_mean,RocCvx_G_std,RocCvx_B_std,RocCvx_H_std,RocCvx_A_std,RocCvx_Cr_std,Circularity,Convexity,Solidity,Label
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_100102.jpg,Original,1,0.9199860095977784,1.007908821105957,1.002932071685791,0.7249047160148621,0.4683645069599151,0.9052641987800598,2.036352634429932,1.3334976434707642,0.8975629210472107,0.9620224833488464,0.8685095906257629,1.3767484426498413,0.9090743064880372,2.920353889465332,1.5343228578567505,1.553474187850952,1.2848462123380742,0.8954804529909413,0.945264045281996,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_101381.jpg,Original,1,0.9476287364959716,1.0026938915252686,1.000119686126709,0.879416286945343,0.7675154805183411,0.9623894095420836,1.5950703620910645,1.154687762260437,0.9693913459777832,0.9986403584480286,0.897150456905365,1.1869134902954102,0.9077038168907166,2.350904703140259,1.244190692901611,1.3558534383773804,1.4734969498697683,0.828479544786617,0.931548153199976,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_101611.jpg,Original,1,0.9035326838493348,0.9962452054023744,0.9971720576286316,0.8896983861923218,0.7007604837417603,0.931149125099182,1.241310715675354,1.0570536851882937,1.009392499923706,1.0070738792419434,0.9540078639984132,1.1042203903198242,0.9935110807418824,1.497362494468689,1.1613670587539673,1.1419411897659302,2.72133231330449,0.7164043975176367,0.7298074159240111,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_102039.jpg,Original,1,0.8843333721160889,1.0119889974594116,1.00074565410614,0.832510769367218,0.5536593794822693,0.8808087110519409,1.414408564567566,1.1057767868041992,0.9570461511611938,0.9973286390304564,0.915778875350952,1.1808205842971802,0.885108470916748,1.8333123922348025,1.252597093582153,1.3415011167526243,2.4826742099017616,0.7040532162321252,0.7930644278152369,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_102750.jpg,Original,0,0.946238100528717,0.9983364939689636,0.9987002611160278,0.8790878057479858,0.9050068855285645,0.932706892490387,1.793235421180725,1.1899135112762451,1.0245455503463743,1.0191775560379028,0.909417450428009,0.9718107581138612,0.7742499113082886,1.8141285181045528,1.2584222555160522,1.6106144189834597,1.2699156911815657,0.9003923178548667,0.9543019641556834,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_10387.jpg,Original,0,0.9068583846092224,0.9965365529060364,0.9963439702987672,0.7846688032150269,0.7682530283927917,0.9300047755241394,1.5358980894088743,1.158409595489502,1.0199272632598877,1.021035075187683,0.9361262917518616,1.2857377529144287,1.0487656593322754,1.7627952098846436,1.454964518547058,1.2566636800765991,2.384444501838052,0.6726724858821723,0.8660228090002192,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_10622.jpg,Original,1,0.8867407441139221,1.0027706623077393,1.0001137256622314,0.7829414010047913,0.6494145393371582,0.891325056552887,1.584683179855347,1.1587610244750977,0.9856969118118286,0.9994129538536072,0.909407913684845,1.0732059478759766,0.754014790058136,1.9867115020751955,1.2084258794784546,1.4355063438415527,1.898413812106683,0.7937474570336636,0.8529185445750409,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_107595.jpg,Original,1,0.8680545091629028,1.0039764642715454,0.9959803819656372,0.8332458734512329,0.6476650834083557,0.8674620985984802,1.4029868841171265,1.095210075378418,0.9878551363945008,1.0122764110565186,0.9328088760375975,1.1807119846343994,0.9436179399490356,1.660763144493103,1.237243413925171,1.3010164499282837,2.351062009987008,0.7234627038853004,0.7650889745000213,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_107876.jpg,Original,1,0.9074910879135132,1.0001789331436155,0.9997049570083618,0.8433477878570557,0.7847195267677307,0.9233831763267516,1.4810374975204468,1.1340153217315674,0.9990695118904114,1.0015337467193604,0.9189865589141846,0.9738003611564636,0.7422307133674622,1.7314023971557615,1.1068789958953855,1.3285077810287476,1.8916505377103487,0.7713597676191203,0.8521118381914852,basophil
/Users/n0721059/DataScientest/Projects/blood-cell-classification/data/raw/basophil/BA_111710.jpg,Original,1,0.9752605557441713,0.9995187520980836,0.999311864376068,0.9132829308509828,0.9507793188095092,0.9753939509391784,1.5571370124816897,1.181963562965393,1.0108367204666138,1.015497803688049,0.946788251399994,1.3142226934432983,1.099998950958252,1.7627753019332886,1.3564790487289429,1.389824151992798,1.2874325090232124,0.8898703033087636,0.9722343110800792,basophil
